Coincidence event, time difference, timestamp 1, timestamp 2, nth event within the second
//note that we still have too many events in this dataset to be considered muons.
Muon:0.000096 (135206.000002-135206.000098) Et3
Muon:0.000002 (135241.000001-135241.000002) Et1
Muon:0.000001 (135241.000003-135241.000005) Et2
Muon:0.000010 (135324.000001-135324.000011) Et1
Muon:0.000001 (135325.000001-135325.000002) Et1
Muon:0.000000 (135540.000001-135540.000002) Et1
Muon:0.000002 (135540.000002-135540.000004) Et2
Muon:0.000007 (135540.000003-135540.000010) Et3
Muon:0.000011 (135540.000005-135540.000016) Et4
Muon:0.000002 (135620.000001-135620.000003) Et1
Muon:0.000001 (135620.000004-135620.000006) Et2
Muon:0.000002 (135620.000010-135620.000007) Et3
Muon:0.000028 (135620.000039-135620.000012) Et4
Muon:0.000002 (135827.000001-135827.000003) Et1
Muon:0.000008 (135827.000013-135827.000005) Et2
Muon:0.000075 (135859.000001-135859.000076) Et1
Muon:0.000001 (140015.000004-140015.000003) Et1
Muon:0.000001 (140023.000001-140023.000002) Et1
Muon:0.000011 (140023.000011-140023.000022) Et2
Muon:0.000089 (140024.000001-140024.000090) Et1
Muon:0.000084 (140024.000007-140024.000091) Et2
Muon:0.000001 (140056.000001-140056.000002) Et1
Muon:0.000003 (140056.000001-140056.000004) Et2
Muon:0.000006 (140056.000002-140056.000008) Et3
Muon:0.000039 (140056.000020-140056.000059) Et4
Muon:0.000005 (140135.000001-140135.000006) Et1
Muon:0.000054 (140135.000013-140135.000067) Et2
Muon:0.000001 (140359.000001-140359.000002) Et1
Muon:0.000005 (140359.000002-140359.000006) Et2
Muon:0.000007 (140359.000004-140359.000012) Et3
Muon:0.000020 (140506.000001-140506.000020) Et1
Muon:0.000049 (140544.000001-140544.000049) Et1
Muon:0.000063 (140721.000458-140721.000520) Et4
Muon:0.000002 (140847.000001-140847.000002) Et1
Muon:0.000002 (140847.000003-140847.000005) Et2
Muon:0.000003 (140847.000006-140847.000009) Et3
Muon:0.000023 (140847.000037-140847.000013) Et4
Muon:0.000047 (141026.000121-141026.000169) Et1
Muon:0.000100 (141026.000279-141026.000179) Et2
Muon:0.000057 (141053.002890-141053.002947) Et3
Muon:0.000083 (141053.004354-141053.004271) Et4
Muon:0.000033 (141137.000001-141137.000033) Et1
Muon:0.000001 (141138.000001-141138.000002) Et1
Muon:0.000037 (141138.000028-141138.000065) Et2
Muon:0.000004 (141141.000001-141141.000005) Et1
Muon:0.000016 (141327.000001-141327.000017) Et1
Muon:0.000001 (141337.000001-141337.000002) Et1
Muon:0.000002 (141337.000001-141337.000004) Et2
Muon:0.000034 (141337.000002-141337.000036) Et3
Muon:0.000088 (141458.000248-141458.000335) Et1
Muon:0.000087 (141458.000249-141458.000336) Et2
Muon:0.000086 (141458.000855-141458.000942) Et4
